fhdi_herb_id,herb_latin_name,herb_english_name,herb_pinyin_name,herb_chinese_name,properties,function ,indication,therapeutic_class
h00311,flos eriocauli,pipewort flower,gu jing cao,,mild sweet,to expel wind and heat and to clear the eye of corneal opacity,distended red eyes and screen delacrimation and photophobia night blindness headache deepsource nasal congestion throat impediment toothache wind papule itching,fire purging drugs
h00312,erythroxylum coca,coca shrub,gu ke,,not specified,not specified,not specified,not specified
h00313,rhizoma dryriae,rhizome of heartleaf dryria,gu sui bu,,warm bitter,to replenish the kidney to strengthen the bones to promote the healing of fracture and to relieve pain,kidney vacuity lumbago tinnitus and deafness tooth mobilizing wrenching and contusion from knocks and falls sinew and bone wound alopecia areata white patch wind,yang reinforcing drugs
h00314,not specified,drynaria fortunei kunze j sm,gu sui bu mao,,not specified,not specified,not specified,not specified
h00315,calycis melo,muskmelon base,gua di,,cold bitter,vomiting promotion,wind stroke epilepsy throat impediment indigestion of overnight food distending pain in stomach duct dampheat jaundice chronic hepatitis cirrhosis,emetic medicinal
h00316,not specified,phellodendri amurensis cortex,guan huang bo,,not specified,not specified,not specified,heatclearing and dampnessdrying medicinal
h00317,not specified,herbahypericiperforati,guan ye jin si tao,,not specified,not specified,not specified,astringent hemostatic medicinal
h00318,hypericum perforatum,st johns wort,guan ye lian qiao,,bitter sour cold,to promote astriction and stanch bleeding regulate menstruation and free milk clear heat and resolve toxin disinhibit damp,hemoptysis blood ejection intestinal wind bleeding flooding and spotting bleeding due to external injury menstrual disorder galactostasis jaundice throat pain red eyes with gall urinary tract infection mouth sore nose sores swelling toxin of welling abscess and boil burns and scalds,heat clearenceblood activation and stasis removal
h00319,rhizoma dryopteris crassirhizomae,root of chinese angelica,guan zhong,,minor cold bitter,1 to kill parasites 2 to clear heat and release toxins 3 to stop bleeding,windheat common cold warm heat macular eruption blood ejection hemoptysis spontaneous external bleeding hematochezia flooding and spotting blood dysentery vaginal discharge ancylostomiasis ascariasis oxyuria disease,antipyretic detoxicate drugs
h00320,glycyrrhiza glabra,licorice,guang guo gan cao,,not specified,see glycyrrhiza uralensis ,see glycyrrhiza uralensis ,not specified
h00322,not specified,pogostemon cablin blanco benth,guang huo xiang,,not specified,not specified,summerheatdamp lassitude oppression in chest vomiting diarrhea with abdominal pain deepsource nasal congestion and headache,dampness removing drugs
h00323,rubia wallichiana,wallich madder,guang jing qian cao,,not specified,see rubia cordifolia ,see rubia cordifolia,not specified
h00324,rauwolfia nitida,shining devilpepper,guang liang luo fu mu,,not specified,not specified,not specified,not specified
h00325,fructus choerospondiatis,fruit of axillary choerospondias,guang zao,,cold sour punkery,to promote the flow of qi and blood to replenish the heart and allay excitement,treatment of stagnation of qi and blood with pectoral pain palpitation and shortness of breath uneasiness in mind,blood activating stasis removing drugs
h00326,plastrum testudinis,tortoise plastron,gui ban,,cold sweet salty,treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness distension and pain in the head and blurred vision tortoise plastron guiban is used with white peony root baishao cyathula root niuxi seaear sh,treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness distension and pain in the head and blurred vision tortoise plastron guiban is used with white peony root baishao cyathula root niuxi,for tonifying weakness
h00327,colla carapacis et plastri testudinis,gelatin of tortoise plastron,gui ban jiao,,cold sweet salty,treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness distension and pain in the head and blurred vision tortoise plastron guiban is used with white peony root baishao cyathula root niuxi seaear sh,treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness distension and pain in the head and blurred vision tortoise plastron guiban is used with white peony root baishao cyathula root niuxi,for tonifying weakness
h00328,caragana jubata,shagspine peashrub,gui jian jin ji er,,not specified,to clear heat and resolve toxin lower blood pressure,mammary welling abscess swelling toxin of sore and boil hypertension,not specified
h00329,ramulus euonymi,twig of winged euonymus,gui jian yu,,cold bitter,for activating blood and modulating period,concretion and conglomeration pain in heart and abdomen amenorrhea dysmenorrhea postpartum stasis stagnation abdominal pain retention of lochia mounting qi  joint running impediment pain swelling of sores painful wound from knocks and falls burns and scalds poisonous snake bite,blood activating stasis removing drugs
h00330,ramulus euonymi,twig of winged euonymus,gui jin yu,,cold bitter,for activating blood and modulating period,not specified,blood activation and stasis removal
h00331,dysosma versipellis syn podophyllum versipelle ,common dysosma,gui jiu,,not specified,see dysosma pleiantha,see dysosma pleiantha ,not specified
h00332,not specified,folium sabinae chinensis,gui ye,,not specified,not specified,not specified,not specified
h00333,herba bidentis,allgrass of spanishneedles,gui zhen cao,,not specified,1 to clear the superficial heat 2 to clear heat and toxic materials 3 to clear dampness and heat from the gastrointestines,swelling pain in throat dysentery diarrhea jaundice intestinal welling abscess swelling toxin of clove sore snake or insect bites winddamp impediment pain knocks and falls,antipyretic detoxicate drugs
h00334,ramulus cinmomi,cassia twig,gui zhi,,warm pungent sweet,to induce perspiration to warm the channels and stimulate menstrual discharge to reinforce yang to relieve palpitation and to promote the descending of qi,windcold exterior syndrome colddamp impediment pain reversal cold of limbs amenorrhea and dysmenorrhea concretion and conglomeration chest impediment palpitation phlegmrheum inhibited urination,pungentwarm exteriorreleasing medicinal
h00335,morinda citrifolia,indianmulberry,hai ba ji,,not specified,to clear heat and resolve toxin,dysentery tuberculosis,not specified
h00336,acacia catechu,cutechu,hai er cha,,not specified,to contract damp close sores and engender flesh,enduring sores eczema mouth sore painful wound from knocks and falls bleeding due to external injury suppurative infection,not specified
h00338,concha cyclinae,clam shell,hai ge ke,,bitter  salty cold,1 treatment of phlegmheat cough manifested as cough with thick yellow sputum asthma chest pain and hypochondriac pain sea clam shell haigeke is used with costazia bone haifushi swallowwort rhizome baiqian mulberry bark sangbaipi capejasmine zhizi and trichosanthes fruit gualou 2 treatment of scrofula and goiter sea clam shell haigeke is used with laminaria kunbu seaweed haizao and ark shell walengzi in the formula hanhua wan,1 treatment of phlegmheat cough manifested as cough with thick yellow sputum asthma chest pain and hypochondriac pain sea clam shell haigeke is used with costazia bone haifushi swallowwort rhizome baiqian mulberry bark sangbaipi capejasmin,for desolving phlegm stopping cougth and soothing breathing
h00339,adenanthera pavonina,sandal beadtree,hai hong dou,,not specified,to course wind and clear heat dry damp and resolve itch moisten skin,wandering wind of head and face,not specified
h00340,spora lygodii,spore of japanese climbing fern,hai jin sha,,cold sweet,to promote diuresis and treat stranguria,heat strangury stone strangury blood strangury inhibited urination dysuria edema white turbidity vaginal discharge hepatitis diarrhea dysentery common cold with fever cough and asthma swelling pain in throat mouth sore red eyes with gall mumps mammary welling abscess erysipelas zoster burns and scalds itchy skin wound swelling from knocks and falls winddamp impediment pain bleeding due to external injury,diuretic dampness excreting drugs
h00341,cortex erythrie,bark of oriental variegated coralbean,hai tong pi,,mild pungent bitter,1 to dispel wind and dampness 2 to clear the meridians,winddamp impediment pain in lumbus and knees scab sore lichen eczema,winddampnessdispelling and heatclearing medicinal
h00342,sargassum,seaweed,hai zao,,cold salty,to soften indurated mass to eliminate phlegm and dissipate modulation and to induce diuresis,1 prevent and treat hypothyroidism caused by deficiency of iodine2 its aqueous infusion can lower blood pressure and inhibit the growth of trichophyton3 causing atrophy of mammary gland and decreasing milk secretion,phlegresolving medicine
h00343,herba ecliptae prostratae,eclipta,han lian cao,,cold sweet sour,for tonifying ying,not specified,for tonifying weakness
h00344,apium graveolens,wildcelery,han qin,,not specified,to calm liver clear heat dispel wind disinhibit water stanch bleeding resolve toxin lower blood pressure,hypertension hypercholesterolemia headache and dizziness red face and eyes blood strangury swollen welling abscess,not specified
h00345,apium graveolens var dulce,wildcelery variety,han qin bian zhong,,not specified,not specified,not specified,not specified
h00346,radix notoginseng,sanchi,han san qi,,warm pungent slightly bitter,treatment of hemoptysis hematemesis epistaxis hematochezia abnormal uterine bleeding traumatic bleeding pricking pain in the chest and abdomen traumatic swelling and pain,1 flavonoid glycoside one of its components increases coronary flow reduces myocardial oxygen consumption and lowers arterial pressure2cardiotonic on frogs hearts in vitro low concentration of its extract exerts a vasoconstrictive effect on the vessels of frogs leg and high concentration vasodilative3 its liquid extract shortens clotting time and exerts hemostatic effect in rabbit,bleeding control
