fhdi_herb_id,herb_latin_name,herb_english_name,herb_pinyin_name,herb_chinese_name,properties,function ,indication,therapeutic_class
h00577,flemingia philippinensis syn moghania philippinensis,philippine flemingia,man xing qian jin ba,,not specified,to dispel wind and eliminate damp strengthen sinews and bones quicken blood and resolve toxin,winddamp impediment pain taxation damage in lumbar muscle wiltingweakness in limbs knocks and falls swelling pain in throat,not specified
h00578,mangifera indica,mango equivalent plant mangifera persiciformis,mang guo,,not specified,to boost stomach engender liquid check vomiting relieve cough,thirst vomiting reduced food intake cough,not specified
h00579,not specified,semen mangiferae indica,mang guo he,,not specified,not specified,not specified,not specified
h00580,erodium stephanianum,common herons bill,mang niu er miao,,not specified,see geranium wilfordii,see geranium wilfordii,not specified
h00581,populus tomentosa,chinese white poplar,mao bai yang,,not specified,to clear heat and disinhibit damp relieve cough and transform phlegm,hepatitis dysentery stranguryturbidity cough of phlegm asthma,not specified
h00582,caragana tibetica,tibet peasshrub,mao ci jin ji er,,not specified,not specified,not specified,not specified
h00583,digitalis purpurea,common foxglove equivalent plant digitalis lanata,mao di huang,,not specified,to strengthen heart and disinhibit urine,cardiac failure edema due to heart disease,not specified
h00584,ilex pubescens,pubescent holly equivalent plant ilex pubescens var glaber,mao dong qing,,not specified,to clear heat and resolve toxin quicken blood and free network vessels,angina pectoris acute myocardial infarction cerebral thrombosis thrombophlebitis thromboangiitis obliterans buergers disease central retinitis central angiospastic retinitis windheat common cold lung heat cough asthma sore pharynx nipple moth gum swelling and pain chest impediment and heart pain wind stroke with hemiplegia erysipelas burns and scalds welling abscess and flat abscess,blood activation and stasis removal
h00585,drosera peltata var lunata,lunate peltate sundew,mao gao cai,,not specified,to dispel wind and relieve pain quicken blood resolve toxin,winddamp impediment pain knocks and falls taxation damage in lumbar muscle stomachache common cold swelling pain in throat red and white dysentery malaria child gan accumulation eye screen scrofula eczema scab sore,not specified
h00586,rhododendron seniavinii,hairfruit rhododendron,mao guo du juan,,not specified,to relieve cough dispel phlegm calm asthma,chronic trachitis,not specified
h00587,isodon trichocarpa,hairyfruit rabdosia,mao guo xiang cha cai,,not specified,not specified,not specified,not specified
h00588,actinidia eriantha,hairyflower actinidia,mao hua mi hou tao,,not specified,to resolve toxin and disperse swelling clear heat and disinhibit damp,heat toxin swollen welling abscess mammary welling abscess aphonia due to lung heat dampheat dysentery stranguryturbidity and vaginal discharge winddamp impediment pain carcinoma of stomach carcinoma of esophagus mastocarcinoma knocks and falls,not specified
h00589,not specified,not specified,mao mai wu zhu yu,,not specified,not specified,not specified,not specified
h00590,datura innoxia,hairy datura leaf,mao man tuo luo ye,,not specified,see datura metel,see datura metel,not specified
h00591,clerodendranthus spicatus,spicate clerodendranthus,mao xu cao,,not specified,to clear heat and dispel damp expel stone and disinhibit water,acute nephritis chronic nephritis cystitis urethral stone rheumatic arthritis,not specified
h00592,veratrum grandiflorum,largeflower falsehellebore,mao ye li lu,,not specified,see veratrum nigrum,see veratrum nigrum,not specified
h00593,rabdosia japonica,japanese rabdosia,mao ye xiang cha cai,,not specified,to clear heat and resolve toxin quicken blood and disperse swelling,hepatitis gastritis mastitis amenorrhea knocks and falls pain in joints snake or insect bites,not specified
h00594,radix ranunculi terti,catclaw buttercup root,mao zhua cao,,warm pungent sweet,to dissolve lumps and cause subsidence of swelling,treament of tuberculosis of lymph nodes without ulceration,antipyretic detoxicate drugs
h00595,corydalis rosea,rose corydalis,mei gui hong jin,,not specified,not specified,not specified,not specified
h00596,flos rosae rugosae,rose flower,mei gui hua,,warm sweet slightly bitter,to relieve stagnation of qi regulate blood circulation and to arrest pain,liver stomach qi pain reduced food intake with nausea and vomiting menstrual disorder painful wound from knocks and falls,qi regulating drugs
h00597,flos mume,plum flower,mei hua,,not specified,to ease the mind the regulate the stomach function to resolve phlegm and counteract toxicity,treament of depression with fidgetness epigastric pain due to stagnation of qi of the liver and stomach globus hystericus scrofula ulcers,qi regulating drugs
h00598,mitragyna speciosa,beautiful mitragyna,mei li mao zhu mu,,not specified,not specified,not specified,not specified
h00599,actinidia deliciosa,delicious actinidia,mei wei mi hou tao,,not specified,not specified,not specified,not specified
h00600,parmelia tinctorum,tinctorial parmelia,mei yi,not specified,not specified,to boost essence brighten eyes cool blood and resolve toxin,dim vision flooding and spotting bleeding due to external injury sore toxin and intractable lichen,not specified
h00602,glycyrrhiza lepidota,scale licorice,mei zhou gan cao,,not specified,not specified,not specified,not specified
h00603,hamamelis virginiana,virginia witch hazel,mei zhou jin lv mei,,not specified,not specified,not specified,not specified
h00604,celastrus scandens,american bittersweet,mei zhou nan she teng,,not specified,not specified,not specified,not specified
h00605,astragalus mongholicus,mongolian milkvetch,meng gu huang qi,,not specified,see astragalus membranaceus,see astragalus membranaceus,not specified
h00606,actinidia arguta,bower actinidia,mi hou li,,not specified,to enrich yin and clear heat eliminate vexation and allay thirst free strangury,febrile diseases fluid damage sand strangury stone strangury hypovitaminosis c gum hemorrhage hepatitis,not specified
h00608,libanotis condensata,denseflower libanotis,mi hua yan feng,,not specified,to dispel wind and free network vessels relieve pain,pain in joints due to rheumatalgia chest pain,not specified
h00610,flos buddlejae,flower of pale butterflybush,mi meng hua,,minor cold sweet,to remove heat replenish the liver and clear the eye of corneal opacity,red eyes with gall delacrimation and photophobia liver vacuity dim vision dim vision malaria,fire purging drugs
h00611,not specified,dioscoreae septemlo bae rhizoma,mian bi xie,,not specified,not specified,strangury with white turbidity excessive leukorrhea dampheat sore toxin impediment pain in lumbus and knees,diuretic dampness excreting drugs
h00612,isodon lasiocarpus,woollyfruit rabdosia,mian mao guo xiang cha cai,,not specified,not specified,not specified,not specified
h00613,changium smyrnioides,medicinal changium,ming dang shen,,minor cold sweet slightly bitter,to moisten lung and transform phlegm nourish yin and harmonize stomach resolve toxin,lung heat cough vomiting nausea reduced food intake with dry mouth anemia dizziness leukorrhea clove toxin sores,for tonifying weakness
h00615,ephedra przewalskii,przewalsk ephedra,mo guo ma huang,,not specified,not specified,not specified,not specified
h00616,herba ecliptae,allgrass of yerbadetajo,mo han lian,,cold sweet sour,to replenish the liver and the kidney and to arrest bleeding by removing heat from blood,tooth mobilizing premature graying in beard and hair dizziness and tinnitus limp aching lumbus and knees yin vacuity blood heat hemoptysis blood ejection duodenal bleeding nosebleedepistaxis hematuria blood dysentery flooding and spotting bleeding due to external injury eczema of skin bleeding of skin snake bite,yintonifying medicinal
h00617,myrrha,myrrh,mo yao,,mild pungent bitter,1 to invigorate blood and stop pain 2 to reduce swelling and promote healing,stasis pain in chest and abdomen amenorrhea dysmenorrhea concretion and conglomeration knocks and falls swollen welling abscess and sores intestinal welling abscess red eyes with gall,blood activating stasis removing drugs
h00618,cortex moutan,tree peony bark,mu dan pi,,minor cold pungent bitter,to remove heat from blood to activate blood circulation and eliminate blood stasis,appendicitis dysentery hypertension allergic rhinitis warm heat disease with fever macular eruption blood ejection spontaneous external bleeding steaming bone tidal fever due to yin vacuity amenorrhea due to blood stasis dysmenorrhea concretion and conglomeration swelling toxin of welling abscess and sore painful wound from knocks and falls winddampheat impediment,heat clearing blood cooling drugs
h00619,fructus caryophylli,clove fruit,mu ding xiang,,warm pungent,to warm the spleen and stomach to regulate the adverse flow of the stomach qi and to restore the kidney yang,not specified,for warming interior
h00620,fructus chaenomelis,fruit of common floweringquince,mu gua,,warm sour,to lessen contracture regulate stomach function and dispel damp,vomiting and diarrhea with cramp winddamp impediment pain cough and abundant phlegm diarrhea dysentery painful wound from knocks and falls beriberi with edema,winddampnessdispelling and colddispersing medicinal
h00621,semen oroxyli,indian trumpetflower seed,mu hu die,,not specified,to remove heat from the lung and relieve sore throat and to regulate the flow of qi of the liver and the stomach,lung heat cough throat impediment aphonia liver stomach qi pain,antipyretic detoxicate drugs
h00622,oroxylum indicum,indian trumpetflower bark,mu hu die shu pi,,not specified,to clear heat and disinhibit damp abate jaundice disinhibit throat and disperse swelling,infective hepatitis swelling pain in throat,not specified
h00623,hibiscus syriacus,shrubalthea fruit,mu jin zi,,not specified,to clear lung and transform phlegm relieve headache resolve toxin,cough of phlegm asthma bronchitis headache yellowwater sore eczema,not specified
h00624,folium viticis negundo,hempleaf negundo chastetree leaf,mu jing ye,,not specified,to counteract toxicity and to induce expectoration relieve cough and asthma,1 oral administration of its eemulsion 052173gkg exerts a strong expectorant effect in mice2 oral administration of its volatile oil 104gkg exerts a significant antitussive effect in mice with cough induced by inhalation of concentrated ammonia3 increasing the hypnotic effect of pentobarital sodium in mice,pungent cool diaphoretics
h00625,matricaria chamomilla syn matricaria recutita ,mayweed,mu ju,,not specified,to clear heat and resolve toxin relieve cough and calm asthma dispel winddamp,common cold with fever swelling pain in throat lung heat cough asthma heat impediment swelling and pain swelling of sores,not specified
h00626,crassostrea gigas,oyster,mu li,,minor cold salty punkery,treament of palpitaton insomnia dizziness and tinnitus scrofula mall formation in the abdomen spontaneous sweating and night sweating seminal emission abnormal uterine bleeding excessive leukorrhea epigastric pain with acid regurgitatonconcha ostreae calcined spontaneous sweating night sweating seminal emission abnormal uterine bleeding excessive leukorrhea epigastric pain with acid regurgitation,its extract inhibits the growth of poliovirus in vivo,for calming liver and containing wind
h00628,flos gossampini,flower of common bombax,mu mian hua,,cool sweet,not specified,diarrhea dysentery hemoptysis blood ejection flooding incised wound and bleeding sore toxin eczema,external medicinal draw out toxin resolve putridity
h00629,actinidia polygama,silvervine actinidia,mu tian liao,,not specified,to dispel winddamp warm channels and relieve pain disperse concretion and conglomeration,wind stroke with hemiplegia windcolddamp impediment lumbago mounting qi  concretion conglomeration accumulation and gathering qi dysentery,not specified
h00630,caulis aristolochiae seu clematis,akebia clematis stem,mu tong,,cold bitter,1 to promote water metabolism and relieve abnormal urination 2 to clear heat and promote lactation,acute urethritis short voidings of reddish urine stranguryturbidity edema nephritis with edema galactostasis heat vexation in chest throat pain mouth sore tongue sores winddamp impediment pain galactostasis amenorrhea dysmenorrhea,diuretic dampness excreting drugs
h00631,radix aucklandiae,common aucklandia root,mu xiang,,warm pungent bitter,to relieve pain by promoting the flow of qi and to improve digestion by reinforcing the spleen function,distending pain in chest and stomach duct diarrhea and tenesmus nondigestion of food accumu lation no thought of food and drink,qi regulating drugs
h00632,herba equiseti hiemalis,common scouring rush herb,mu zei,,mild sweet bitter,to dispel windheat and to remove nebula,windheat red eye tearing in wind eye screen,pungent cool diaphoretics
h00633,ephedra equisetina,mongolian ephedra,mu zei ma huang,,not specified,see ephedra sinica,see ephedra sinica,not specified
h00634,microtoena prainiana,prain microtoena,nan chuan guan chun hua,,not specified,not specified,not specified,not specified
h00635,cuscuta australis,south dodder seed,nan fang tu si zi,,not specified,see cuscuta chinensis ,see cuscuta chinensis ,not specified
h00636,harpagophytum procumbens,devils clow,nan fei gou ma,,not specified,to relieve pain eliminate inflammation resolve heat,bronchial asthma ileitis ulcerative colitis rheumatis abnormal increase of lipoxygenase,not specified
h00637,salvia sclarea,clary,nan ou dan shen,,not specified,not specified,not specified,not specified
h00638,radix adenophorae,fourleaf ladybell root,nan sha shen,,not specified,to nourish yin and remove heat from the lung to relieve phlegm and to reinforce qi,treament of heat in the lung with dry cough cough with scanty sticky sputum in phthisis with deficiency of yin  deficiency of both qi and yin with feverishness and thirst,yintonifying medicinal
h00639,celastrus orbiculatus syn celastrus articulatus ,oriental bittersweet root,nan she teng gen,,not specified,to dispel wind and overcome damp move qi and dissipate blood resolve toxin and disperse swelling,winddamp impediment pain painful swelling from knocks and falls amenorrhea headache lumbago mounting qi  dysentery intestinal wind bleeding swelling toxin of welling abscess and flat abscess burns and scalds poisonous snake bite,not specified
h00640,not specified,schisandrae sphentherae fructus,nan wu wei zi,,not specified,not specified,not specified,astringent medicinal
h00641,flos rhododendri mollis,yellow azalea flower,nao yang hua,,not specified,to relieve rheumatic conditions and to eliminate blood stasis and alleviate pain,tachycardia palpitation hypertension winddamp impediment pain knocks and falls intractable lichen,winddampnessdispelling and colddispersing medicinal
h00643,geranium nepalense,nepal cranesbill,ni bo er lao guan cao,,not specified,see geranium wilfordii,see geranium wilfordii,not specified
h00645,citrus limon,lemon pericarp equivalent plant citrus limonia,ning meng pi,,not specified,to soothe stagnation and move qi fortify stomach and relieve pain,blood stasis and abdominal pain menstrual disorder no thought of food and drink,not specified
h00646,lycium barbarum,barbary wolfberry fruit,ning xia gou qi zi,,not specified,see lycium chinense,see lycium chinense,not specified
h00647,arctium lappa,great burdock root,niu bang gen,,not specified,to dispel windheat disperse swelling toxin,windheat common cold headache cough wind toxin swollen face swelling pain in th roat gingiva painful swelling winddamp impediment pain concretion and conglomeration welling abscess and boil hemorrhoids prolapse of rectum,not specified
h00648,fructus arctii lappae,achene of great burdock,niu bang zi,,cold pungent bitter,to dispel windheat and relieve cough to promote eruption to counteract toxicity and to soothe sore throat,windheat common cold cough with profuse phlegm measles papules wind papules swelling pain in throat epidemic parotitis erysipelas swollen welling abscess and sore toxin,pungent cool diaphoretics
h00649,not specified,millettiae speciosae radix,niu da li,,not specified,not specified,not specified,antitussive antiasthmetics
h00650,calculus bovis,cowbezoar,niu huang,,cool bitter,to restore consciousness by reducing fire and eliminating phlegm  to relieve convulsions and to counteract toxicity,ardent fever coma fright epilepsy convulsion febrile diseases clouded spirit wind stroke with orifice block acute infant fright wind swelling pain in throat mouth and tongue sores welling abscess and flat abscess with clove sore,resuscitative stimulant resuscitative medicinal
h00651,sonchus arvensis,field sowthistle,niu she tou,,not specified,to clear heat and resolve toxin,dysentery appendicitis mastitis white turbidity hemorrhoids emission swelling toxin of sore and boil burns and scalds,not specified
h00652,radix achyranthis bidentatae,root of twotooth achyranthes,niu xi,,mild sweet sour bitter,to replenish the liver and the kidney to strengthen the tendons and bones to eliminate blood stasis and stimulate menstrual discharge and to lead the blood to flow downward,aching in lumbus and knees amenorrhea due to blood stasis dysmenorrhea postpartum blood stasis abdominal pain concretion and conglomeration retention of placenta  heat strangury blood strangury knocks and falls swollen welling abscess and malign sore swelling pain in throat,blood activating stasis removing drugs
h00653,fructus ligustri lucidi,fruit of glossy privet,nu zhen zi,,cool sweet bitter,treament of vertigo tinnitus weakness in the loins and knees premature whitening of hair and impaired eyesight due to deficiency of yin of the liver and kidney,1 its component oleanolic acid can prevent and relieve cyclophosphamideinduced leukocytopenia in mice2 enhancing the anoxia tolerance of mice under atmospheric pressure3 increasing coronary flow in rabbits in vitro4 relaxing adrenalineinduced vasocontricyion in rabbits in vitro5 lowering the level of blood lipid,for tonifying weakness
h00654,radix oryzae glutinosae,glutinous rice root,nuo dao gen,,not specified,to stop cold sweat and lower asthenic fever,not specified,astringent medicinal
h00655,fructus ligustri lucidi,fruit of glossy privet,nv zhen zi,,cool sweet bitter,to replenish the liver and kidney improve eyesight and promote the growth of black hair,septicemia chronic bronchitis acute dysentery dizziness and tinnitus premature graying in beard and hair dim vision,yintonifying medicinal
h00656,mentha longifolia,horse mint,ou bo he,,not specified,not specified,not specified,not specified
h00657,levisticum officinale,garden lovage,ou dang gui,,not specified,to quicken blood and regulate menstruation disinhibit urine,amenorrhea dysmenorrhea dizziness headache numbness in limbs edema,not specified
h00659,nodus nelumbinis rhizomatis,node of lotus rhizome,ou jie,,mild sweet punkery,to arrest bleeding and remove blood stasis,treament of hematemesis hemoptysis hematuria abnormal uterine bleeding,astringent hemostatic medicinal
h00660,erica arborea,tree heath,ou shi nan,,not specified,not specified,not specified,not specified
h00661,nelumbinis rhizomatis preparata,prepared node of lotus rhizome,ou tan,,not specified,not specified,not specified,not specified
h00662,asarum europaeum,asarabacca,ou xi xin,,not specified,not specified,not specified,not specified
h00663,glycyrrhiza glabra var typica,typical licorice,ou ya gan cao,,not specified,not specified,not specified,not specified
h00664,aesculus hippocastanum,horsechestnut,ou zhou qi ye shu,,not specified,see aesculus wilsonii,see aesculus wilsonii,not specified
h00665,derris scandens,climbing jewelvine,pan yuan yu teng,,not specified,not specified,not specified,not specified
h00666,not specified,fructus paulowniae fortunei,pao tong guo,,not specified,not specified,not specified,not specified
h00667,herba eupatorii,fortune eupatorium herb,pei lan,,cold mild,to resolve damp invigorate the function of the spleen and improve appetite by its spicy fragrance and to expel summer heat from the body surface,nausea and vomiting bad breath drooling distended head and oppression in chest sweetgreasy in mouth summerheatdamp exterior syndrome,dampness removing drugs
h00668,not specified,curcuma zedoaria rosc,peng e zhu,,not specified,not specified,not specified,not specified
h00669,humulus lupulus,european hop femaleflower,pi jiu hua,,not specified,to fortify stomach and disperse food disinhibit urine and quiet spirit eliminate inflammation,indigestion abdominal distention edema cystitis tuberculosis cough insomnia leprosy,not specified
h00670,cuscuta lupuliformis,hopshaped dodder,pi jiu hua tu si zi,,not specified,not specified,not specified,not specified
h00671,folium eriobotryae,loquat leaf,pi pa ye,,minor cold bitter,to remove heat from the lung and the stomach and to relieve cough and vomiting,lung heat cough qi counterflow with rapid asthma  stomach heat vomiting heat vexation and thirst,antitussive antiasthmetics
h00673,rhizoma wenyujin concisum,wenyujin concise rhizome,pian jiang huang,,not specified,treament of amenorrhea and dysmenorrhea due to blood stasis pricking pain in the chest and hypochondriac regions arthralgia,treament of amenorrhea and dysmenorrhea due to blood stasis pricking pain in the chest and hypochondriac regions arthralgia,not specified
h00675,fructus psoraleae corylifoliae,fruit of malaytea scurfpea,po gu zhi,,extreme warm pungent bitter,treatment of impotence seminal emission enuresis frequent urination aching of the loins and knees with cold sensation asthma in deficiency syndromes of the kidney diarrhea occurring before dawn daily external use for vitiligo and alpecia areata,1 corylifolinin  isobavachalcone  dilates coronary artery significantly 2 promoting phagocytosis of macrophage 3 exciting the intestinal smooth muscles in vivo or in vitro and relaxing the uterus of guineapigs in vitro,for tonifying weakness
h00676,camellia sinensis var assamica,assam tea,pu er cha,,not specified,to engender liquid and allay thirst expel phlegm and precipitate qi,sand qi abdominal pain cholera dysentery,not specified
h00677,taraxacum mongolicum,mongolian dandelion,pu gong ying,,cold sweet bitter,to clear heat and resolve toxin dissipate binds and disperse swelling disinhibit urine and free strangury,epidemic parotitis infection of upper respiratory tract tonsillitis laryngitis sore pharynx mastitis hepatitis swelling toxin of clove sore mammary welling abscess scrofula red eyes pulmonary welling abscess dampheat jaundice heat strangury with inhibited pain,heat clearence
h00678,pollen typhae,pollen of longbract cattail,pu huang,,mild sweet,to arrest bleeding to remove blood stasis and to relieve dysuria,hyperlipemia angina pectoris exudative eczema bleeding hemoptysis spontaneous external bleeding blood ejection hematochezia hematuria flooding and spotting bleeding due to external injury pain in heart and abdomen dysmenorrhea postpartum bleeding postpartum abdominal pain blood strangury with inhibited pain,stasisresolving hemostatic medicinal
h00681,vitis vinifera,european grape,ou zhou pu tao,,not specified,to supplement qi and blood strengthen sinews and bones disinhibit urine,vacuity of qi and blood lung vacuity cough palpitation and night sweating winddamp impediment pain strangury edema,not specified
h00682,aesculus chinensis,chinese buckeye,qi ye shu,,not specified,see aesculus wilsonii ,see aesculus wilsonii,not specified
h00683,radix peucedani,root of grand hogfennel,qian hu,,minor cold pungent bitter,to dispel wind and remove heat and to relieve cough and resolve phlegm ,cough externally contracted windheat lung heat phlegm depression cough and asthma with abundant phlegm sticky phlegm retching counterflow and reduced food intake fullness and oppression in chest and diaphragm,phlegresolving medicine
h00684,radix moghaniae philippinensis,root of philippine flemingia,qian jin ba,,warm pungent,not specified,not specified,winddampdispelling and sinewbonestrengthening medicinal
h00685,stephania japonica,japanese staphania,qian jin teng,,not specified,to clear heat and resolve toxin dispel wind and relieve pain disinhibit water and disperse edema,swelling pain in throat swollen welling abscess sore and boil poisonous snake bite winddamp impediment pain stomachache beriberi with edema nephritis with edema urinary tract infection rheumatic arthritis sciatica,not specified
h00686,senecio scandens,climbing groundsel,qian li guang,,mild bitter,to clear heat and resolve toxin eliminate screen and brighten eyes kill worms and relieve itch,windfire eye conjunctivitis eye screen typhoid fever acute bacillary dysentery pneumonia lobar pneumonia tonsillitis appendicitis bronchitis enteritis jaundice influenza toxemia hematosepsis swelling toxin of welling abscess and boil dry lichen damp lichen erysipelas eczema scalds trichomoniasis,heat clearence
h00687,rhizoma homalomee occultae,rhizome of obscured homalome,qian nian jian,,warm pungent bitter,to relieve rheumatic conditions and stregnthen the tendons and bones,treament of rheumatoid arthritis with pain and cold sensation in the loins and knees muscular contracture and numbness of the lower extremities,winddampdispelling and sinewbonestrengthening medicinal
h00688,semen pharbitidis,pharbitis seed,qian niu zi,,cold bitter,to cause drastic purgation for clearing away retained fluid and to kill worms,edema distention fullness inhibited urine and stool phlegmrheum and accumulationgathering qi counterflow with cough and asthma abdominal pain due to worm accumulation ascariasis taeniasis,drastic purgatives
h00689,lythrum salicaria,spiked loosestrife equivalent plant lythrum anceps,qian qu cai,,not specified,to clear heat and resolve toxin promote contraction and stanch bleeding,dysentery diarrhea hematochezia flooding ulcerating sores blood ejection spontaneous external bleeding bleeding due to external injury,not specified
h00690,semen euryales,seed of gordon euryale,qian shi,,mild sweet punkery,1 to strengthen the kidney to preserve essence drprive dampness to relieve leucorrhagia 2 to strengthen the spleen to relieve diarrhea,1 treatment of kidneydeficiency manifested as nocturnal emission frequent micturition enuresis whitish and turbid urine or leucorrhagia 2 treatment of diarrhea for diarrhea of spleendeficiency type,astringent medicinal
h00692,erythrina arborescens,himalayan coralbean equivalent plant erythrina variegate,qiao mu ci tong,,not specified,to dispel wind and eliminate damp soothe sinews and quicken network vessels kill worms and relieve itch,winddamp impediment pain hypertonicity in limb joints knocks and falls scab and lichen eczema,not specified
h00694,radix gentiae macrophyllae,root of largeleaf gentian,qin jiao,,minor cold pungent bitter,to relieve rheumatic conditions and to remove dampheat,winddamp impediment pain hypertonicity of sinews and vessels aching pain in joints late afternoon tidal fever child gan accumulation with fever,winddampnessdispelling and heatclearing medicinal
h00695,panax japonicus var major,largeleaf japanese ginseng,qin ling zhu zi shen,,not specified,to clear heat and nourish yin  stanch bleeding and dissipate stasis disperse swelling and relieve pain,febrile diseases with vexation and thirst lung heat cough due to yin vacuity hemoptysis blood ejection spontaneous external bleeding hematochezia hematuria flooding and spotting bleeding due to external injury wound swelling from knocks and falls winddamp impediment pain stomachache menstrual disorder windfire toothache swelling pain in throat swelling pain of welling abscess and sore,not specified
h00696,cortex fraxini,bark of largeleaf chinese ash,qin pi,,cold bitter,to remove dampheat to arrest discharges and to improve eyesight,1 inhibiting the growth of dysentery bacillus and staphylococcus2 antitussive and expectorant3 aesculin one of its active components prolongs the hypnotic effect of hexobarbital in mice4 aescuktin another active component exerts an antihistaminic effect and relaxes smooth muscles of guineapigs trachea in vitro5 analgesic the effect of aescuktin is stronger than that of aspirin but weaker than codeine,heatclearing and dampnessdrying medicinal
h00697,not specified,caulis sinomenii,qing feng teng,,not specified,not specified,winddamp impediment pain pain from arthritis swelling in joints paralytic and pruritus,winddampnessdispelling and colddispersing medicinal
h00698,herba artemisiae annuae,sweet wormwood herb,qing hao,,bitter  pungent cold,to remove summerheat to relieve consumptive feverand to stop malarial attacks,see artemisia annua,asthenic heat dispelling drugs
h00699,vatica rassak,rassak vatica,qing mei,,not specified,not specified,not specified,not specified
h00700,pericarpium citri reticulatae viride,green tangerine peel,qing pi,,warm pungent bitter,to soothe the liver to disintegrate stagnated qi and to remove retained food,1 its component limonene is an expectorant and antiasthmatic2 its decoction relaxes the smooth muscle of intestines stomach gallbladder and uterus,qi regulating drugs
h00701,herba nerviliae,leaf of ford nervilia,qing tian kui,,not specified,1 to clear heat and toxic material for skin infection of intense heat type sorethroat summerheat syndrome with fever and thirst scrofula 2 to moisturize the lung to relieve cough for cough of heat type and dryness type,1 to clear heat and toxic material for skin infection of intense heat type sorethroat summerheat syndrome with fever and thirst scrofula 2 to moisturize the lung to relieve cough for cough of heat type and dryness type,not specified
h00703,flemingia strobilifera,conespike flemingia,qiu sui qian jin ba,,not specified,to clear heat and eliminate damp dispel wind and free network vessels relieve cough and transform phlegm,winddamp impediment pain lassitude in lumbus and knees phlegmheat cough asthma pertussis jaundice,not specified
h00704,herba dianthi,allgrass of lilac pink,qu mai,,cold bitter,to relieve dysuria and to stimulate menstrual discharge,strangury heat strangury blood strangury stone strangury urinary tract infection urinary stoppage dripping with inhibited pain amenorrhea carcinoma of esophagus carcinoma of rectum,diuretic dampness excreting drugs
h00705,rhizoma bistortae,rhizome of bistort,quan shen,,cool bitter,to remove toxic heat to promote the subsidence of swelling and to arrest bleeding,red dysentery heat diarrhea lung heat cough swollen welling abscess scrofula mouth sore tongue sores blood ejection spontaneous external bleeding bleeding from hemorrhoids poisonous snake bite,antipyretic detoxicate drugs
h00706,genista tinctoria,common woadwaxen,ran liao mu,,not specified,not specified,not specified,not specified
h00707,lonicera japonica,japanese honeysuckle vine,ren dong teng,,cold sweet,to clear heat and resolve toxin free network vessels,warm disease fever swelling toxin of sore and welling abscess heat toxin blood dysentery winddampheat impediment,heat clearence
h00708,panax ginseng,radix ginseng,ren shen,,minor warm sweet slightly bitter,to reinforce the vital energy to remedy collapse and restore the normal pulse to benefit the spleen and lung to promote the production of body fluid and to calm the nerves,qi vacuity and verging on desertion cold limbs and faint pulse reduced food intake due to spleen vacuity cough and asthma due to lung vacuity fluid damage and thirst diabetes mellitus due to internal heat enduring illness qi vacuity fright palpitation and insomnia impotence uterus cold cardiac failure,qi reinforcing drugs
h00709,panax ginseng x p  quinquefolium,not specified,ren shen xi yang shen za jiao zhong,,not specified,not specified,not specified,not specified
h00710,folium ginseng,ginseng leaf,ren shen ye,,not specified,to nourish qi and lung expel summerheat to promote fluid secretion,summerheatheat and thirst febrile diseases fluid damage stomach yin insufficiency diabetes mellitus dry cough due to lung dryness vacuityfire toothache,qi reinforcing drugs
h00712,magnolia obovata,whiteleaf japanese magnolia,ri ben hou po,,not specified,not specified,not specified,not specified
h00713,chamaecyparis pisifera,sawara false cypress,ri ben hua bai,,not specified,not specified,not specified,not specified
h00714,phellodendron japonicum,japancorktree,ri ben huang bai,,not specified,not specified,not specified,not specified
h00716,lythrum anceps,twoedged loosestrife,ri ben qian qu cai,,not specified,see lythrum salicaria ,see lythrum salicaria ,not specified
h00717,prunus yedoensis,tokyo cherry,ri ben ying hua,,not specified,not specified,not specified,not specified
h00718,herba cistanches,desertliving cistanche,rou cong rong,,warm sweet salty,to reinforce the kidney replenish vital essence and blood and induce taxation,impotence infertility backache limp aching lumbus and knees weakness in sinews and bones intestinal dry and constipation,yang reinforcing drugs
h00719,cortex cinmomi,cassia bark,rou gui,,hot pungent sweet,to supplement body fire reinforce yang and lead the fire back to the kidney to dispel cold and relieve pain and to activate blood circulation and stimulate menstrual discharge,impotence uterus cold cold pain in lumbus and knees kidney vacuity asthma yang vacuity dizziness red eyes and sore pharynx cold pain in heart and abdomen vacuity cold vomiting and diarrhea cold mounting running piglet amenorrhea dysmenorrhea,warming interior drugs
h00720,resi oliani,frankincense,ru xiang,,warm pungent bitter,1 to invigorate blood and stop pain 2 to reduce swelling,pain in heart and abdomen winddamp impediment pain amenorrhea dysmenorrhea stasis pain from knocks and falls swelling toxin of welling abscess and flat abscess intestinal welling abscess enduring sores,blood activating stasis removing drugs
h00721,rhododendron lingii,ruyuan rhododendron,ru yuan du juan,,not specified,not specified,not specified,not specified
h00722,heracleum lanatum,softhair cowparsnip,ruan mao du huo,,not specified,see angelica pubescens f biserrata ,see angelica pubescens f biserrata,not specified
h00723,nux prinsepiae,hedge prinsepia nut,rui ren,,not specified,to nourish the liver and improve eyesight and to dispel windheat,treatment of conjuntivitis and blepharitis marginalis with impaired vision and photophobia,pungent cool diaphoretics
h00724,rhizoma seu herba saururi,chinese lizardtail rhizome or herb,san bai cao,,not specified,to remove toxic heat and cause diuresis,edema beriberi jaundice stranguryturbidity vaginal discharge swollen welling abscess clove sore,diuretic dampness excreting drugs
