fhdi_food_id,food_name,scientific_name,common_name,description,group,subgroup,drug_homologous_food
f00057,beer,not specified,not specified,beer is an alcoholic beverage produced by the saccharification of starch and fermentation of the resulting sugar the starch and saccharification enzymes are often derived from malted cereal grains most commonly malted barley and malted wheat most beer is also flavoured with hops which add bitterness and act as a natural preservative though other flavourings such as herbs or fruit may occasionally be included,beverages,fermented beverages,not specified
f00058,cheese,not specified,not specified,cheese is a food derived from milk that is produced in a wide range of flavors textures and forms by coagulation of the milk protein casein it comprises proteins and fat from milk usually the milk of cows buffalo goats or sheep during production the milk is usually acidified and adding the enzyme rennet causes coagulation the solids are separated and pressed into final form some cheeses have molds on the rind or throughout,milk and milk products,fermented milk products,not specified
f00059,durian,durio zibethinus,not specified,the durian is the fruit of several tree species belonging to the genus durio and the family malvacea although some taxonomists place durio in a distinct family durionaceae regarded by many people in southeast asia as the king of fruits the durian is distinctive for its large size strong odour and formidable thorncovered husk the fruit can grow as large as 30 centimetres 12 in long and 15 centimetres 6 in in diameter and it typically weighs one to three kilograms 2 to 7 lb its shape ranges from oblong to round the colour of its husk green to brown and its flesh pale yellow to red depending on the species the edible flesh emits a distinctive odour that is strong and penetrating even when the husk is intact,fruits,tropical fruits,not specified
f00060,fiber,not specified,not specified,dietary fiber is a polysaccharide that cannot be digested and absorbed by the gastrointestinal tract nor can it generate energy therefore it was once considered a nutrient free substance and has not received sufficient attention for a long time,others,chemical compound,not specified
f00061,walnut,juglans,not specified,a walnut is an edible seed of any tree of the genus juglans especially the persian or english walnut juglans regia broken nutmeats of the eastern black walnut from the tree juglans nigra are also commercially available in small quantities as are foods prepared with butternut nutmeats from juglans cinerea walnut seeds are a high density source of nutrients particularly proteins and essential fatty acids,nuts,nuts,not specified
f00062,skipjack tuna,katsuwonus pelamis,not specified,the skipjack tuna katsuwonus pelamis is a mediumsized perciform fish in the tuna family scombridae it is otherwise known as the aku arctic bonito mushmouth oceanic bonito striped tuna or victor fish,aquatic foods,fishes,not specified
f00063,albacore tuna,thunnus alalunga,not specified,the albacore thunnus alalunga is a species of tuna in the family scombridae this species is also called albacore fish albacore tuna albicore albie pigfish tombo ahi binnaga pacific albacore german bonito but see bonito longfin longfin tuna longfin tunny or even just tuna it is the only tuna species which may be marketed as white meat tuna in the united states,aquatic foods,fishes,not specified
f00064,yellowfin tuna,thunnus albacares,not specified,the yellowfin tuna thunnus albacares is a species of tuna found in pelagic waters of tropical and subtropical oceans worldwide,aquatic foods,fishes,not specified
f00065,northern bluefin tuna,thunnus thynnus,not specified,the atlantic bluefin tuna thunnus thynnus is a species of tuna in the scombridae family it is variously known as the northern bluefin tuna mainly when including pacific bluefin as a subspecies giant bluefin tuna for individuals exceeding 150 kilograms or around 330 pounds and formerly as the tunny,aquatic foods,fishes,not specified
f00066,broccoli,brassica oleracea var italica,not specified,broccoli is an edible green plant in the cabbage family whose large flowering head is used as a vegetable the word broccoli comes from the italian plural of broccolo which means the flowering top of a cabbage and is the diminutive form of brocco meaning small nail or sprout broccoli is often boiled or steamed but may be eaten raw,vegetables,cabbages,not specified
f00067,molasses,not specified,not specified,molasses is a viscous byproduct of the processing of sugar cane grapes or sugar beets into sugar the quality of molasses depends on the maturity of the sugar cane or sugar beet the amount of sugar extracted and the method of extraction,baking goods,baking goods,not specified
f00068,avocado,persea americana,not specified,the avocado persea americana is a tree native to central mexico classified in the flowering plant family lauraceae along with cinnamon camphor and bay laurel avocado or alligator pear also refers to the fruit botanically a large berry that contains a single seed of the tree avocados are commercially valuable and are cultivated in tropical and mediterranean climates throughout the world,vegetables,fruit vegetables,the flesh of avocado is soft and delicate it is rich in unsaturated fatty acid based oil minerals and vitamins it does not contain cholesterol and has a low sugar content it is a highgrade fruit suitable for all ages and a rare highfat and low sugar food for diabetics
f00069,black raspberry,rubus occidentalis,not specified,black raspberry is a common name for three species of the genus rubus rubus leucodermis native to western north america rubus occidentalis native to eastern north america rubus coreanus also known as korean black raspberry native to korea japan and china a black raspberry is a small fruit that weighs between one and two grams almost all commercial production of black raspberries is from developed cultivars of rubus occidentalis oregon accounts for over 90 of black raspberry production in the united states black raspberry plants yield significantly less fruit than their red counterparts and also commonly suffer from a raspberry mosaic disease complex that gives them shorter lifespans than other cane berry plants because of this they can be costly to produce on a large scale,fruits,berries,not specified
f00070,salt,not specified,not specified,salt also known as table salt or rock salt is a crystalline mineral that is composed primarily of sodium chloride a chemical compound belonging to the larger class of ionic salts it is absolutely essential for animal life but can be harmful to animals and plants in excess salt is one of the oldest most ubiquitous food seasonings and salting is an important method of food preservation,baking goods,seasonings,not specified
f00071,cauliflower,brassica oleracea var botrytis,not specified,cauliflower is one of several vegetables in the species brassica oleracea in the family brassicaceae it is an annual plant that reproduces by seed typically only the head the white curd is eaten the cauliflower head is composed of a white inflorescence meristem cauliflower heads resemble those in broccoli which differs in having flower buds,vegetables,cabbages,not specified
f00072,cabbage,brassica oleracea var capitata,not specified,cabbage brassica oleracea or variants is a leafy green biennial grown as an annual vegetable for its denseleaved heads closely related to other cole crops such as broccoli cauliflower and brussels sprouts it descends from b  oleracea var oleracea a wild field cabbage,vegetables,cabbages,not specified
f00073,cassava,manihot esculenta,not specified,cassava also called yuca mogo or manioc is a woody shrub cultivated in tropical and subtropical regions for its edible starchy tuberous root a major source of carbohydrates,vegetables,tubers,not specified
