fhdi_drug_id,drug_name,drug_dose,dosage_form,food_herb_id,food_herb_name,type,component,dose,time,effect,conclusion
d00245,midazolam,20 mgkg,oral,h00803,su he xiang,herb,not specified,100 mgkg,not specified,possible,considering that both intestinal cyp3a and hepatic cyp3a participate in midazolam metabolism when this agent is administrated orally while styrax ig cannot influence hepatic metabolism of midazolam suggesting that styrax may modulate the in vivo pharmacokinetic behavior of midazolam ig via inhibiting intestinal cyp3a but not hepatic cyp3a
d00245,midazolam,5 mgkg,injection,h00803,su he xiang,herb,not specified,100 mgkg,not specified,no effect,considering that both intestinal cyp3a and hepatic cyp3a participate in midazolam metabolism when this agent is administrated orally while styrax ig cannot influence hepatic metabolism of midazolam suggesting that styrax may modulate the in vivo pharmacokinetic behavior of midazolam ig via inhibiting intestinal cyp3a but not hepatic cyp3a
d01040,selexipag,2 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,2 mgkgd,administration after 7 days of pretreatment,possible,the study indicated that quercetin could inhibit the metabolism of selexipag and act333679 when coadministration therefore the clinical dose of selexipag should be used with caution when coadministered with foods high in quercetin
d00090,chlorzoxazone,250 mg,oral,h00804,caesalpinia sappan,herb,quercetin,1000 mg,administration after 10 days of pretreatment,positive,the results suggest that altered pharmacokinetics of chz might be attributed to quercetinmediated inhibition of cyp2e1 enzyme further the inhibition of cyp2e1 by quercetin may represent a novel therapeutic approach for minimizing the ethanolinduced cyp2e1 enzyme activity and results in reduced hepatotoxicity of ethanol
d00245,midazolam,75 mg,tablet,h00804,caesalpinia sappan,herb,quercetin,500 mg,500 mg quercetin once a day for 13 consecutive days,negative,quercetin significantly induced cyp3a activity to substrate midazolam and the induction was partly related to the cyp3a5 genotype being more prominent in cyp3a511 and cyp3a513 individuals
d00551,diltiazem,15 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,2 10 20 mgkg,not specified,possible,the bioavailibility of diltiazem in the rabbits pretreated with quercetin is increased significantly compared with the control but not in the rabbits coadministered with quercetin the increased bioavailability of diltiazem in the rabbits pretreated with quercetin might have been resulted result from the quercetin which inhibits the efflux pump pglycoprotein and the firstpass metabolizing enzyme cyp3a4
d00070,verapamil,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,15 mgkg,not specified,possible,in conclusion pretreatment of quercetin significantly enhanced the oral exposure of verapamil this suggested that concomitant use of quercetin or a quercetincontaining dietary supplement with verapamil requires close monitoring for potential drug interaction
d00213,losartan,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,20 mgkg,administration after 7 days of pretreatment,possible,these results indicated that the herbdrug interaction between quercetin and losartan might occur when they are coadministered in rats quercetin could increase the systemic exposure of losartan and decrease the plasma concentration of exp3174 possibly by inhibiting the activity of pgp or cyp450 enzyme
d00010,melatonin,5 mgkg,not specified,h00804,caesalpinia sappan,herb,quercetin,15 mgkg,before dose,possible,these findings suggest that caffeic acid and quercetin improved oral exposure of melatonin via cyp1a inhibition pathway
d01198,tucatinib,30 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,25 50 100 mgkg,not specified,possible,100 mgkg quercetin exhibited a more substantial inhibition on tucatinib metabolism than 50 mgkg quercetin therefore the concurrent use of tucatinib with high dose of quercetin should be treated with extreme caution if their combined use is unavoidable our data suggested dose reduction or interruption of tucatinib should be taken
