indication,state,fhdi_drug_id
benzodiazepine overdose icd11 pc91,approved,d00157
insomnia icd11 7a007a0z,approved,d00158
solid tumourcancer icd11 2a002f9z,approved,d00159
tumour icd11 2a002f9z,investigative,d00159
colorectal cancer icd11 2b91z,investigative,d00159
depression icd11 6a706a7z,approved,d00160
depression icd11 6a706a7z,approved,d00160
insomnia icd11 7a007a0z,approved,d00161
rheumatoid arthritis icd11 fa20,approved,d00162
schizophrenia icd11 6a20,approved,d00163
prostate cancer icd11 2c820,approved,d00164
athylene glycol or methanol poisoning icd11 ne61,approved,d00165
congestive heart failure icd11 bd10,approved,d00166
congestive heart failure icd11 bd10,approved,d01367
complex partial seizure icd11 8a680,approved,d00167
solid tumourcancer icd11 2a002f9z,phase 3,d00167
pancreatitis icd11 dc31dc34,approved,d00168
hyperlipidaemia icd11 5c80,approved,d00169
diabetic complication icd11 5a2y,approved,d00170
diabetic complication icd11 5a2y,approved,d01368
diabetic complication icd11 5a2y,approved,d00171
diabetic complication icd11 5a2y,approved,d00172
insomnia icd11 7a007a0z,approved,d00173
diabetic complication icd11 5a2y,approved,d00174
stroke icd11 8b20,phase 3,d01369
diabetic complication icd11 5a2y,approved,d00174
stroke icd11 8b20,phase 3,d01369
moderate and severe hypertension icd11 ba00z,approved,d00177
schizophrenia icd11 6a20,approved,d00178
leishmaniasis icd11 1f54,approved,d00179
visceral leishmaniasis icd11 1f540,phase 2,d00179
hypertension icd11 ba00ba04,approved,d00180
hypertension icd11 ba00ba04,approved,d00181
congestive heart failure icd11 bd10,approved,d00182
malaria icd11 1f401f45,approved,d00183
chronic myelogenous leukaemia icd11 2a200,approved,d00184
anxiety disorder icd11 6b006b0z,approved,d00185
castlemans disease icd11 4b2y,approved,d00186
amyotrophic lateral sclerosis icd11 8b600,phase 2,d00186
alcohol dependence icd11 6c402,phase 2,d00186
methamphetamine dependence icd11 6c462,phase 2,d00186
opioid dependence icd11 6c432z,phase 2,d00186
multiple sclerosis icd11 8a40,phase 2,d00186
pain icd11 mg30mg3z,approved,d00187
depression icd11 6a706a7z,approved,d00188
skin imperfections icd11 ek71,patented,d00188
anaesthesia icd11 9a786,approved,d00189
dysmenorrhea icd11 ga343,phase 2,d00189
cognitive impairment icd11 6d71,approved,d00190
friedreichs ataxia icd11 8a0310,approved,d00190
solid tumourcancer icd11 2a002f9z,approved,d00191
depression icd11 6a706a7z,approved,d00192
hypertension icd11 ba00ba04,approved,d00193
rheumatoid arthritis icd11 fa20,approved,d00194
rheumatoid arthritis icd11 fa20,approved,d01370
hypertension icd11 ba00ba04,approved,d00198
depression icd11 6a706a7z,approved,d00199
tuberculosis icd11 1b101b1z,approved,d00200
hypertension icd11 ba00ba04,approved,d00201
herpes simplex virus infection icd11 1f00,phase 3,d00201
anaesthesia icd11 9a786,approved,d00202
musculoskeletal pain icd11 mg30,approved,d00203
pain icd11 mg30mg3z,phase 3,d00203
migraine icd11 8a80,phase 2,d00203
osteoarthritis icd11 fa00fa05,phase 1,d00203
postoperative inflammation icd11 1a00ca431,approved,d00204
allergic conjunctivitis icd11 9a6002,approved,d00205
hypertension icd11 ba00ba04,approved,d00206
bipolar disorder icd11 6a60,approved,d00207
epilepsy icd11 8a608a68,approved,d00207
arthritis icd11 fa20,approved,d00208
multiple sclerosis icd11 8a40,approved,d00208
hormonallyresponsive breast cancer icd11 2c602c65,approved,d00209
bacterial infection icd11 1a001c4z,approved,d00210
allergy icd11 4a804a85,approved,d00211
allergic rhinitis icd11 ca080,discontinued in phase 2,d00211
anxiety disorder icd11 6b006b0z,approved,d00212
hypertension icd11 ba00ba04,approved,d00213
