indication,state,fhdi_drug_id
nonerosive gastroesophageal reflux disease icd11 da220,approved,d01009
erosive esophagitis icd11 da250,approved,d01009
peptic ulcer icd11 da61,approved,d01009
nsaidassociated gastric ulcer icd11 da60,phase 3,d01009
nonerosive gastroesophageal reflux disease icd11 da220,approved,d01385
erosive esophagitis icd11 da250,approved,d01385
peptic ulcer icd11 da61,approved,d01385
nsaidassociated gastric ulcer icd11 da60,phase 3,d01385
pediatric cancer icd11 2a002f9z,approved,d01010
huntington disease icd11 8a0110,phase 3,d01011
somatotropin deficiency icd11 5a610,approved,d01012
growth hormone deficiency icd11 5a613,approved,d01012
hormone replacement therapy icd11 8e01,approved,d01014
inflammatory bowel disease icd11 dd72,phase 2,d01015
rheumatoid arthritis icd11 fa20,phase 2,d01015
hypertension icd11 ba00ba04,phase 4,d01016
thyroid cancer icd11 2d10,approved,d01017
hepatocellular carcinoma icd11 2c1202,phase 3,d01017
renal cell carcinoma icd11 2c90,phase 3,d01017
melanoma icd11 2c30,phase 2,d01017
solid tumourcancer icd11 2a002f9z,phase 12,d01017
ovarian cancer icd11 2c73,phase 1,d01017
nonsmallcell lung cancer icd11 2c25y,application submitted,d01017
type2 diabetes icd11 5a11,approved,d01018
acute myeloid leukaemia icd11 2a60,approved,d01019
systemic mastocytosis icd11 2a210,approved,d01019
chronic myelomonocytic leukaemia icd11 2a40,phase 2,d01019
colorectal cancer icd11 2b91z,phase 1,d01019
progressive familial intrahepatic cholestasis icd11 5c5803,phase 3,d01021
alagille syndrome icd11 lb200y,phase 2,d01021
river blindness icd11 1f6a0,approved,d01022
onchocerciasis icd11 1f6a,approved,d01022
complex partial seizure icd11 8a680,approved,d01023
epilepsy icd11 8a608a68,phase 3,d01023
pain icd11 mg30mg3z,phase 3,d01023
acute pain icd11 mg31,approved,d01024
overactive bladder icd11 gc500,approved,d01026
thrombosis icd11 db61gb90,approved,d01029
breast cancer icd11 2c602c65,approved,d01030
solid tumourcancer icd11 2a002f9z,phase 2,d01030
overactive bladder icd11 gc500,approved,d01031
procedural sedation icd11 jb0c3,approved,d01032
anaesthesia icd11 9a786,phase 3,d01032
erectile dysfunction icd11 ha011,approved,d01033
bacterial infection icd11 1a001c4z,approved,d01034
deep vein thrombosis icd11 bd71,approved,d01036
alcohol dependence icd11 6c402,phase 2,d01037
alcohol dependence icd11 6c402,phase 2,d01037
alcohol dependence icd11 6c402,phase 2,d01386
alcohol dependence icd11 6c402,phase 2,d01386
type2 diabetes icd11 5a11,approved,d01038
renal cell carcinoma icd11 2c90,approved,d01039
pulmonary arterial hypertension icd11 bb010,approved,d01040
rheumatoid arthritis icd11 fa20,approved,d01042
ovarian cancer icd11 2c73,approved,d01043
excessive daytime sleepiness icd11 mg42,approved,d01044
schizophrenia icd11 6a20,phase 3,d01044
allergic rhinitis icd11 ca080,approved,d01045
major depressive disorder icd11 6a703,approved,d01046
mood disorder icd11 6a606e23,phase 3,d01046
clostridium difficile associated diarrhea icd11 1a04,approved,d01047
parkinson disease icd11 8a000,approved,d01048
myocardial infarction icd11 ba41ba43,approved,d01049
type2 diabetes icd11 5a11,approved,d01050
melanoma icd11 2c30,phase 3,d01052
thyroid cancer icd11 2d10,phase 3,d01052
nonsmallcell lung cancer icd11 2c25y,phase 2,d01052
solid tumourcancer icd11 2a002f9z,investigative,d01052
excessive daytime sleepiness icd11 mg42,approved,d01053
narcolepsy icd11 7a20,phase 3,d01053
osteoporosis icd11 fb830,phase 3,d01054
alagille syndrome icd11 lb200y,phase 3,d01055
thrombosis icd11 db61gb90,approved,d01057
insomnia icd11 7a007a0z,approved,d01059
focal segmental glomerulosclerosis icd11 mf8y,phase 3,d01060
myocardial infarction icd11 ba41ba43,phase 2,d01060
hypertension icd11 ba00ba04,phase 2,d01060
venous thromboembolism icd11 bd72,approved,d01061
cerebrovascular ischaemia icd11 8b1z,phase 3,d01061
fibrodysplasia ossificans progressiva icd11 fb311,phase 3,d01063
emphysema icd11 ca21,phase 2,d01063
chemotherapyinduced nausea icd11 md90,approved,d01064
hepatitis c virus infection icd11 1e511,approved,d01065
prostate cancer icd11 2c820,approved,d01066
endometriosis icd11 ga10,phase 3,d01066
familial hypercholesterolemia icd11 5c8000,approved,d01067
cardiovascular disease icd11 ba00be2z,phase 3,d01067
hepatic encephalopathy icd11 db995,approved,d01068
bipolar disorder icd11 6a60,approved,d01070
metastatic colorectal cancer icd11 2b91,approved,d01071
schizophrenia icd11 6a20,approved,d01072
type2 diabetes icd11 5a11,approved,d01073
diarrheapredominant irritable bowel syndrome icd11 dd9101,approved,d01074
uterine fibroids icd11 2e860,phase 3,d01075
pulmonary arterial hypertension icd11 bb010,approved,d01077
fragile x syndrome icd11 ld55,phase 2,d01078
rett syndrome icd11 ld904,phase 2,d01078
traumatic brain injury icd11 na07z,phase 2,d01078
type1 diabetes icd11 5a10,phase 2,d01078
human immunodeficiency virus infection icd11 1c62,approved,d01079
multiple sclerosis icd11 8a40,approved,d01080
psoriasis vulgaris icd11 ea90,phase 2,d01080
type2 diabetes icd11 5a11,approved,d01082
nonsmallcell lung cancer icd11 2c25y,approved,d01086
psoriasis vulgaris icd11 ea90,approved,d01087
attention deficit hyperactivity disorder icd11 6a05z,approved,d01088
migraine icd11 8a80,approved,d01089
chronic lymphocytic leukaemia icd11 2a820,approved,d01090
nonsmallcell lung cancer icd11 2c25y,approved,d01091
vascular dementia icd11 6d81,phase 2,d01092
obesity icd11 5b81,approved,d01094
drug abuse icd11 6c4g1z,phase 1,d01094
immune thrombocytopenic purpura icd11 3b6413,approved,d01096
rheumatoid arthritis icd11 fa20,phase 3,d01096
melanoma icd11 2c30,approved,d01097
anemia icd11 3a003a9z,investigative,d01098
type1 diabetes icd11 5a10,approved,d01099
rheumatoid arthritis icd11 fa20,phase 2,d01100
psoriasis vulgaris icd11 ea90,phase 2,d01100
psoriatic arthritis icd11 fa21,phase 1,d01100
scleroderma icd11 4a42,phase 1,d01100
systemic lupus erythematosus icd11 4a400,phase 1,d01100
hypertension icd11 ba00ba04,approved,d01101
complex partial seizure icd11 8a680,approved,d01103
contraception icd11 qa21,approved,d01105
prostate cancer icd11 2c820,approved,d01106
cardiovascular disease icd11 ba00be2z,approved,d01107
smallpox icd11 1e70,approved,d01109
virus infection icd11 1a241d9z,phase 3,d01109
osteoporosis icd11 fb830,approved,d01110
deep vein thrombosis icd11 bd71,approved,d01111
thrombocytopenia icd11 3b64,approved,d01112
osteogenesis imperfecta icd11 ld24k0,approved,d01113
psoriatic disorder icd11 ea90,discontinued in phase 2,d01113
type2 diabetes icd11 5a11,approved,d01114
obesity icd11 5b81,phase 2,d01114
pain icd11 mg30mg3z,approved,d01115
traumatic brain injury icd11 na07z,phase 12,d01115
diabetic complication icd11 5a2y,approved,d01116
irritable bowel syndrome icd11 dd910,approved,d01118
cystic fibrosis icd11 ca25,approved,d01119
cystic fibrosis icd11 ca25,phase 2,d01121
myelofibrosis icd11 2a202,approved,d01123
hivassociated diarrhoea icd11 1a2z,approved,d01124
breast cancer icd11 2c602c65,phase 3,d01125
high blood cholesterol level icd11 5c8000,approved,d01126
ovarian cancer icd11 2c73,approved,d01128
pancreatic cancer icd11 2c10,phase 3,d01128
prostate cancer icd11 2c820,phase 3,d01128
inflammatory arthritis icd11 fa2z,approved,d01129
head and body lice icd11 1g000,approved,d01130
basal cell carcinoma icd11 2c32,approved,d01132
primitive neuroectodermal tumour medulloblastoma icd11 2a0011,phase 2,d01132
pruritus icd11 ec90,phase 3,d01135
type2 diabetes icd11 5a11,approved,d01137
diabetic nephropathy icd11 gb61z,phase 3,d01137
type1 diabetes icd11 5a10,phase 2,d01137
mantle cell lymphoma icd11 2a855,approved,d01138
bcell nonhodgkin lymphoma icd11 2b335,phase 3,d01138
diffuse large bcell lymphoma icd11 2a81,phase 3,d01138
follicular lymphoma icd11 2a80,phase 3,d01138
nonhodgkin lymphoma icd11 2b335,phase 3,d01138
pancreatic cancer icd11 2c10,phase 3,d01138
solid tumourcancer icd11 2a002f9z,phase 2,d01138
acute lymphoblastic leukaemia icd11 2a85,approved,d01139
chronic hcv1 infection icd11 1e511,approved,d01143
insomnia icd11 7a007a0z,approved,d01145
myelofibrosis icd11 2a202,phase 3,d01146
polycythemia vera icd11 2a204,phase 2,d01146
thrombocythemia icd11 3b63,phase 2,d01146
endometriosis icd11 ga10,approved,d01147
thyroid cancer icd11 2d10,approved,d01148
ovarian cancer icd11 2c73,phase 2,d01148
highrisk myelofibrosis icd11 2a202,approved,d01149
essential thrombocythemia icd11 3b631z,approved,d01149
pancreatic cancer icd11 2c10,phase 3,d01149
atopic dermatitis icd11 ea80,phase 12,d01149
vitiligo icd11 ed630,phase 12,d01149
nonsmall cell lung cancer icd11 2c25,approved,d01151
colorectal cancer icd11 2b91z,phase 2,d01151
solid tumourcancer icd11 2a002f9z,phase 2,d01151
neuroblastoma icd11 2d112,phase 1,d01151
mammary analogue secretory carcinoma icd11 2c60,phase 1,d01151
nonsmallcell lung cancer icd11 2c25y,approved,d01152
hepatocellular carcinoma icd11 2c1202,phase 2,d01152
recurrent glioblastoma icd11 2a0000,phase 1,d01152
tenosynovial giant cell tumour icd11 2f7b,approved,d01153
alzheimer disease icd11 8a20,phase 3,d01153
pigmented villonodular synovitis icd11 fa271,phase 3,d01153
neurofibromatosis type 1 icd11 ld2d10,phase 12,d01153
human immunodeficiency virus infection icd11 1c62,approved,d01154
hepatitis c virus infection icd11 1e511,approved,d01155
nonsmall cell lung cancer icd11 2c25,approved,d01157
hepatocellular carcinoma icd11 2c1202,phase 2,d01157
solid tumourcancer icd11 2a002f9z,phase 12,d01157
carcinoid syndrome diarrhea icd11 da900,approved,d01158
carcinoid syndrome icd11 5b10,approved,d01158
multiple myeloma icd11 2a83,approved,d01159
communityacquired pneumonia icd11 ca40z,approved,d01160
acute bacterial skin infection icd11 1c41,phase 2,d01160
type2 diabetes icd11 5a11,phase 3,d01161
melanoma icd11 2c30,approved,d01162
cushing disease icd11 5a70,approved,d01163
pulmonary tuberculosis icd11 1b10z,phase 2,d01164
rheumatoid arthritis icd11 fa20,approved,d01165
melanoma icd11 2c30,approved,d01167
melanoma icd11 2c30,approved,d01167
melanoma icd11 2c30,approved,d01388
melanoma icd11 2c30,approved,d01388
overactive bladder icd11 gc500,approved,d01168
solid tumourcancer icd11 2a002f9z,phase 3,d01169
multiple sclerosis icd11 8a40,approved,d01171
hepatocellular carcinoma icd11 2c1202,phase 3,d01171
rheumatoid arthritis icd11 fa20,phase 2,d01171
nonsmallcell lung cancer icd11 2c25y,registered,d01173
stroke icd11 8b20,approved,d01174
venous thromboembolism icd11 bd72,approved,d01174
embolism icd11 jb42,approved,d01174
menopause symptom icd11 ga300,approved,d01178
vasomotor symptom icd11 ca08,approved,d01178
helicobacter infection icd11 da42da63,approved,d01180
gastroesophageal reflux disease icd11 da22z,phase 3,d01180
type2 diabetes icd11 5a11,approved,d01181
cardiovascular disease icd11 ba00be2z,phase 3,d01181
solid tumourcancer icd11 2a002f9z,approved,d01182
autism spectrum disorder icd11 6a02,phase 3,d01184
myelofibrosis icd11 2a202,phase 3,d01185
chronic myelogenous leukaemia icd11 2a200,phase 2,d01187
acute myeloid leukaemia icd11 2a60,approved,d01189
lung cancer icd11 2c250,approved,d01190
nonsmallcell lung cancer icd11 2c25y,phase 2,d01190
thrombocytopenia icd11 3b64,approved,d01192
liver disease icd11 db90bd99,phase 2,d01192
acute coronary syndrome icd11 ba41,discontinued in phase 3,d01193
endometriosis icd11 ga10,phase 2,d01196
her2positive breast cancer icd11 2c602c65,approved,d01198
gastric adenocarcinoma icd11 2b72,phase 23,d01198
migraine icd11 8a80,approved,d01199
metabolic disorder icd11 5c505d2z,approved,d01200
neuroendocrine cancer icd11 2b721,phase 3,d01201
solid tumourcancer icd11 2a002f9z,phase 1,d01201
multiple sclerosis icd11 8a40,approved,d01202
ulcerative colitis icd11 dd71,phase 3,d01202
nonsmallcell lung cancer icd11 2c25y,phase 3,d01202
crohn disease icd11 dd70,phase 2,d01202
hyperuricaemia icd11 5c55y,approved,d01204
human immunodeficiency virus infection icd11 1c62,approved,d01206
chronic periodontitis icd11 da0cy,approved,d01207
advanced gum disease icd11 da0d,approved,d01207
diabetic foot ulcer icd11 bd54,phase 2,d01207
heart failure icd11 bd10bd13,approved,d01208
bacterial infection icd11 1a001c4z,approved,d01209
bacterial infection icd11 1a001c4z,approved,d01210
bacterial infection icd11 1a001c4z,approved,d01211
rosacea icd11 ed900,phase 2,d01211
pain icd11 mg30mg3z,approved,d01213
thrombosis icd11 db61gb90,approved,d01214
arthritis icd11 fa20,approved,d01215
rheumatoid arthritis icd11 fa20,approved,d01216
atrial fibrillation icd11 bc813,approved,d01217
thrombosis icd11 db61gb90,application submitted,d01217
thrombosis icd11 db61gb90,approved,d01219
acne vulgaris icd11 ed80,approved,d01220
human immunodeficiency virus infection icd11 1c62,approved,d01221
acne vulgaris icd11 ed80,approved,d01222
hyperlipidaemia icd11 5c80,approved,d01223
multiple sclerosis icd11 8a40,approved,d01223
rheumatoid arthritis icd11 fa20,phase 3,d01223
hepatitis b virus infection icd11 1e510,phase 1,d01223
acute bacterial skin infection icd11 1c41,approved,d01225
bacterial pneumonia icd11 ca400,approved,d01225
bacterial infection icd11 1a001c4z,phase 3,d01225
bacterial infection icd11 1a001c4z,approved,d01226
human immunodeficiency virus infection icd11 1c62,approved,d01228
breast cancer icd11 2c602c65,approved,d01234
solid tumourcancer icd11 2a002f9z,phase 2,d01234
diarrhea icd11 me051,approved,d01235
type2 diabetes icd11 5a11,approved,d01236
insomnia icd11 7a007a0z,approved,d01237
alzheimer disease icd11 8a20,phase 2,d01237
opioidinduced constipation icd11 db321,approved,d01238
nonsmallcell lung cancer icd11 2c25y,phase 3,d01239
nonsmallcell lung cancer icd11 2c25y,approved,d01240
sjogren syndrome icd11 4a4320,phase 2,d01241
hepatitis c virus infection icd11 1e511,discontinued in phase 1,d01242
rheumatoid arthritis icd11 fa20,approved,d01244
psoriatic arthritis icd11 fa21,phase 3,d01244
atopic dermatitis icd11 ea80,phase 2,d01244
crohn disease icd11 dd70,phase 2,d01244
ulcerative colitis icd11 dd71,phase 2,d01244
peripheral neuropathy icd11 8c0z,registered,d01246
fibromyalgia icd11 mg3001,phase 3,d01246
cancer related pain icd11 mg30,phase 3,d01246
cardiovascular disease icd11 ba00be2z,phase 3,d01246
pyruvate kinase deficiency icd11 5c5300,phase 2,d01247
diabetic nephropathy icd11 gb61z,phase 3,d01248
dyslipidemia icd11 5c805c81,approved,d01249
follicular lymphoma icd11 2a80,approved,d01250
malignant rhabdoid tumour icd11 2a001y,phase 2,d01250
brain and central nervous system tumour icd11 2a0011,phase 2,d01250
mesothelioma icd11 2c512,phase 2,d01250
solid tumourcancer icd11 2a002f9z,phase 2,d01250
diffuse large bcell lymphoma icd11 2a81,phase 12,d01250
synovial sarcoma icd11 2b5a,phase 1,d01250
prostate cancer icd11 2c820,approved,d01253
her2neu overexpressing breast cancer icd11 2c602c65,approved,d01254
bladder cancer icd11 2c94,approved,d01255
urothelial carcinoma icd11 2c920,phase 2,d01255
solid tumourcancer icd11 2a002f9z,phase 2,d01255
lymphoma icd11 2a802a86,phase 12,d01255
nonsmallcell lung cancer icd11 2c25y,approved,d01258
anaplastic large cell lymphoma icd11 2a90a,approved,d01258
renal cell carcinoma icd11 2c90,phase 3,d01259
solid tumourcancer icd11 2a002f9z,phase 2,d01259
migraine icd11 8a80,approved,d01261
type12 diabetes icd11 5a105a11,approved,d01263
irritable bowel syndrome icd11 dd910,approved,d01264
chronic idiopathic constipation icd11 dc32,approved,d01264
crohn disease icd11 dd70,phase 3,d01264
diarrhea icd11 me051,approved,d01265
mantle cell lymphoma icd11 2a855,approved,d01266
chronic lymphocytic leukaemia icd11 2a820,phase 3,d01266
familial hypercholesterolemia icd11 5c8000,approved,d01267
melanoma icd11 2c30,approved,d01268
multiple myeloma icd11 2a83,phase 3,d01269
liposarcoma icd11 2b59,phase 3,d01269
neuroendocrine cancer icd11 2b721,phase 3,d01269
solid tumourcancer icd11 2a002f9z,phase 2,d01269
diffuse large bcell lymphoma icd11 2a81,phase 2,d01269
acute myeloid leukaemia icd11 2a60,phase 2,d01269
recurrent glioblastoma icd11 2a0000,phase 2,d01269
nonsmallcell lung cancer icd11 2c25y,approved,d01270
melanoma icd11 2c30,phase 3,d01270
gastrointestinal stromal tumour icd11 2b5b,approved,d01271
glioma icd11 2a000,phase 1,d01271
solid tumourcancer icd11 2a002f9z,phase 1,d01271
systemic mastocytosis icd11 2a210,phase 1,d01271
irritable bowel syndrome icd11 dd910,approved,d01272
kidney disease icd11 gc2z,phase 2,d01272
constipation icd11 dd911,phase 2,d01272
sicklecell disorder icd11 3a51,approved,d01273
cholangiocarcinoma icd11 2c1210,phase 3,d01274
multiple myeloma icd11 2a83,phase 12,d01274
solid tumourcancer icd11 2a002f9z,phase 12,d01274
acute myeloid leukaemia icd11 2a60,approved,d01275
cholangiocarcinoma icd11 2c1210,phase 3,d01275
haematological malignancy icd11 2b33y,phase 1,d01275
coronavirus disease 2019 covid19 icd11 1d6y,investigative,d01276
nonsmallcell lung cancer icd11 2c25y,approved,d01277
friedreichs ataxia icd11 8a0310,phase 2,d01278
melanoma icd11 2c30,phase 12,d01278
psychiatric disorder icd11 6e8z,clinical trial,d01278
migraine icd11 8a80,phase 23,d01279
invasive aspergillosis icd11 1f200,phase 3,d01281
haematological malignancy icd11 2b33y,phase 1,d01281
follicular lymphoma icd11 2a80,approved,d01282
marginal zone lymphoma icd11 2a850,approved,d01282
diffuse large bcell lymphoma icd11 2a81,phase 23,d01282
chronic lymphocytic leukaemia icd11 2a820,phase 2,d01282
nonhodgkin lymphoma icd11 2b335,phase 2,d01282
tardive dyskinesia icd11 8a0210,approved,d01284
huntington disease icd11 8a0110,approved,d01284
postmenopausal osteoporosis icd11 fb8311,approved,d01287
atopic dermatitis icd11 ea80,phase 3,d01290
lupus icd11 4a40,phase 2,d01290
peritoneal cancer icd11 2c51z,approved,d01291
fallopian tube cancer icd11 2c74,approved,d01291
cholangiocarcinoma icd11 2c1210,approved,d01293
bladder cancer icd11 2c94,phase 2,d01293
myeloproliferative syndrome icd11 2a22,phase 2,d01293
major depressive disorder icd11 6a703,phase 1,d01296
type2 diabetes icd11 5a11,approved,d01297
acute myeloid leukaemia icd11 2a60,approved,d01298
obstructive hypertrophic cardiomyopathy icd11 bc4312,phase 3,d01300
renal cell carcinoma icd11 2c90,phase 3,d01301
von hippellindau disease icd11 5a75,phase 2,d01301
solid tumourcancer icd11 2a002f9z,phase 1,d01301
gastrointestinal stromal tumour icd11 2b5b,approved,d01302
mast cell leukaemia icd11 2a2100,phase 1,d01302
systemic mastocytosis icd11 2a210,phase 1,d01302
hepatocellular carcinoma icd11 2c1202,phase 1,d01303
spinal muscular atrophy icd11 8b61,approved,d01305
nonsmall cell lung cancer icd11 2c25,phase 3,d01306
thrombocytopenia icd11 3b64,approved,d01307
type12 diabetes icd11 5a105a11,approved,d01310
achondroplasia icd11 ld2400,phase 3,d01311
nonsmallcell lung cancer icd11 2c25y,phase 3,d01313
acne vulgaris icd11 ed80,approved,d01315
coronary artery disease icd11 ba80,phase 2,d01316
influenza virus infection icd11 1e301e32,approved,d01317
nonsmallcell lung cancer icd11 2c25y,approved,d01318
solid tumourcancer icd11 2a002f9z,phase 1,d01318
chronic lymphocytic leukaemia icd11 2a820,phase 3,d01319
small lymphocytic lymphoma icd11 2a820,phase 3,d01319
plaque psoriasis icd11 ea900,phase 3,d01321
psoriasis vulgaris icd11 ea90,phase 3,d01321
nonsmallcell lung cancer icd11 2c25y,approved,d01322
thyroid cancer icd11 2d10,approved,d01322
colon cancer icd11 2b90z,phase 12,d01322
hepatitis b virus infection icd11 1e510,approved,d01323
vitamin deficiency icd11 5b555b71,approved,d01326
folatedeficiency anemia icd11 3a02y,approved,d01326
tuberculosis icd11 1b101b1z,approved,d01327
tuberculosis icd11 1b101b1z,approved,d01327
tuberculosis icd11 1b101b1z,approved,d01390
tuberculosis icd11 1b101b1z,approved,d01390
schizophrenia icd11 6a20,approved,d01328
melanoma icd11 2c30,approved,d01329
human immunodeficiency virus infection icd11 1c62,approved,d01330
virus infection icd11 1a241d9z,approved,d01331
mycobacterium infection icd11 1b101b21,approved,d01333
tuberculosis icd11 1b101b14,approved,d01333
erectile dysfunction icd11 ha011,approved,d01334
coronavirus disease 2019 covid19 icd11 1d6y,phase 3,d01334
schizophrenia icd11 6a20,approved,d01335
erectile dysfunction icd11 ha011,approved,d01336
hyperuricaemia icd11 5c55y,approved,d01337
tuberculosis icd11 1b101b1z,approved,d01338
macular degeneration icd11 9b783,investigative,d01338
thrombocythemia icd11 3b63,approved,d01339
essential thrombocythemia icd11 3b631z,phase 2,d01339
irritable bowel syndrome icd11 dd910,approved,d01340
gastrooesophageal reflux icd11 da22,withdrawn from market,d01340
dyspepsia icd11 md92,withdrawn from market,d01340
hyperphenylalaninemia icd11 5c50,approved,d01341
malignant pleural mesothelioma icd11 2c260,approved,d01343
virus infection icd11 1a241d9z,approved,d01344
depression icd11 6a706a7z,approved,d01345
nausea icd11 md90,approved,d01345
solid tumourcancer icd11 2a002f9z,phase 3,d01345
thrombocytopenia icd11 3b64,approved,d01347
idiopathic thrombocytopenic purpura icd11 3b6410,phase 3,d01347
breast cancer icd11 2c602c65,approved,d01348
psoriatic arthritis icd11 fa21,phase 3,d01348
venous thromboembolism icd11 bd72,phase 3,d01350
parkinson disease icd11 8a000,approved,d01351
mantle cell lymphoma icd11 2a855,approved,d01352
chronic lymphocytic leukaemia icd11 2a820,phase 3,d01352
small lymphocytic lymphoma icd11 2a820,phase 3,d01352
waldenstrom macroglobulinemia icd11 2a854,phase 3,d01352
bcell lymphoma icd11 2a86,phase 1,d01352
nonsmallcell lung cancer icd11 2c25y,phase 3,d01353
hereditary angioedema icd11 4a0014,approved,d01354
human immunodeficiency virus infection icd11 1c62,phase 23,d01355
nonsmallcell lung cancer icd11 2c25y,phase 3,d01356
venous thrombosis icd11 ba43,approved,d01358
coronavirus disease 2019 covid19 icd11 1d6y,investigative,d01358
hepatitis c virus infection icd11 1e511,approved,d01391
hairy cell leukaemia icd11 2a822,approved,d01393
pulmonary embolism icd11 bb00,approved,d01394
chronic myelogenous leukaemia icd11 2a200,approved,d01395
anemia icd11 3a003a9z,approved,d01396
myocardial infarction icd11 ba41ba43,approved,d01397
heart attack icd11 ba41,approved,d01398
hepatitis c virus infection icd11 1e511,approved,d01399
acute coronary syndrome icd11 ba41,approved,d01400
myocardial infarction icd11 ba41ba43,approved,d01402
chronic granulomatous disease icd11 4a000y,approved,d01403
chronic hcv1 infection icd11 1e511,approved,d01404
angina pectoris icd11 ba40,approved,d01405
cerebrovascular ischaemia icd11 8b1z,approved,d01406
severe sepsis icd11 1g401g41,approved,d01406
solid tumourcancer icd11 2a002f9z,approved,d01407
multiple sclerosis icd11 8a40,approved,d01408
multiple sclerosis icd11 8a40,approved,d01409
growth failure icd11 ld2f1y,approved,d01415
ischemic stroke icd11 8b115z,phase 3,d01418
her2positive breast cancer icd11 2c602c65,phase 3,d01421
breast cancer icd11 2c602c65,phase 2,d01421
rheumatoid arthritis icd11 fa20,approved,d01422
cryopyrinassociated periodic syndromes icd11 4a601,approved,d01422
vasculitis icd11 4a44,phase 2,d01422
urticaria icd11 eb00eb05,phase 2,d01422
postmenopausal osteoporosis icd11 fb8311,approved,d01423
prostate cancer icd11 2c820,phase 3,d01423
rheumatoid arthritis icd11 fa20,phase 2,d01423
hodgkin lymphoma icd11 2b30,approved,d01425
metabolic disorder icd11 5c505d2z,approved,d01426
chronic lymphocytic leukaemia icd11 2a820,approved,d01427
haematological malignancy icd11 2b33y,phase 1,d01427
diabetic complication icd11 5a2y,approved,d01429
breast cancer icd11 2c602c65,approved,d01435
diffuse large bcell lymphoma icd11 2a81,approved,d01451
follicular lymphoma icd11 2a80,phase 2,d01451
haematological malignancy icd11 2b33y,phase 2,d01451
type 2 diabetes icd11 5a11,phase 3,d01475
haemophilia a icd11 3b100,phase 3,d01481
lymphoma icd11 2a802a86 icd10 c81c86 icd9 202,phase 1,d01502
cough icd11 md12 icd10 r05,phase 1,d01503
endometriosis icd11 ga10 icd10 n80 n809,phase 1,d01503
cardiovascular disease icd11 ba00be2z icd10 i00i99,approved,d01508
acute asthma icd11 ca23 icd10 j45 j458 icd9 493,approved,d01486
schizophrenia icd11 6a20,withdrawn from market,d01413
malaria icd11 1f401f45 icd10 b50b64 b54,approved,d01510
bacterial infection icd11 1a001c4z icd10 a00b99,approved,d01511
diarrhea icd11 me051,approved,d01512
female infertility icd11 ga31z,approved,d01513
osteoarthritis icd11 fa00fa05 icd9 715,approved,d01514
heart block icd11 bc63,approved,d01515
melanoma icd11 2c30 icd9 172,phase 1,d01515
